num_lectures,price,days_since_published,content_duration
11,0,1963,1.0
25,100,1437,6.5
11,40,1572,1.0
65,95,1924,2.5
21,20,1968,2.0
69,175,1356,9.5
24,40,1608,1.5
12,30,1851,1.0
13,95,2032,1.5
71,100,2296,3.5
95,75,1589,8.5
152,200,1627,5.5
49,40,2173,4.5
19,50,1938,2.0
11,20,1949,0.6333333333333333
138,190,1738,7.5
12,80,1437,0.7333333333333333
14,20,1974,3.0
29,95,2051,2.5
61,200,1427,9.5
92,105,1365,4.0
28,100,1985,2.5
16,75,2094,2.0
16,30,1771,3.0
14,30,1933,1.5
99,80,1941,2.0
7,0,1475,1.0
15,60,1622,1.5
12,0,2030,1.0
11,50,1325,2.0
49,200,2073,4.5
100,125,1908,20.5
16,95,1739,1.0
61,75,2188,6.0
16,20,2051,1.5
36,200,1977,2.5
12,40,2035,1.0
25,50,2036,2.0
12,60,1527,1.0
42,95,2072,5.0
16,75,1857,1.5
26,20,2015,3.0
30,20,1377,2.5
8,0,2044,1.0
20,0,2137,3.0
21,0,1361,3.0
87,40,1583,10.0
13,25,2294,1.5
60,20,1637,6.5
28,50,1604,3.0
56,200,1793,11.0
161,145,1358,14.0
98,50,1856,0.5166666666666666
24,95,2268,1.5
76,150,2896,13.0
224,200,2466,28.5
17,40,1808,1.5
6,50,1387,0.5333333333333333
18,50,2233,2.0
18,20,1868,1.0
12,25,1682,1.0
10,60,2908,2.0
31,20,1553,4.0
32,25,1347,3.5
29,200,2084,2.5
45,0,2925,10.5
91,200,2218,10.0
68,20,2010,6.5
24,30,2889,4.0
25,50,1700,1.5
11,40,1779,1.0
25,105,1338,1.5
26,60,1576,0.6333333333333333
69,100,2214,10.0
37,50,1900,1.5
66,20,2235,5.5
35,60,1660,4.0
45,75,2070,4.5
53,45,1861,7.0
10,25,1546,1.0
9,40,2084,2.0
60,50,1785,13.5
29,50,1395,3.5
34,35,2094,1.0
19,25,1790,1.0
18,30,1434,2.5
34,20,1533,1.5
96,195,1618,12.5
9,100,2232,1.0
16,20,2612,3.0
16,100,1322,1.0
36,100,1489,3.0
21,200,2133,2.0
35,45,1665,1.5
83,85,1387,5.0
8,20,1728,1.0
91,60,1730,16.5
30,20,1394,2.5
25,65,2064,1.0
14,40,1370,1.0
28,95,2000,5.0
13,35,1829,1.5
9,0,2681,2.0
22,195,2017,2.0
12,25,2388,3.5
9,35,1621,0.5666666666666667
29,200,2001,1.5
23,30,2057,0.7166666666666667
66,100,1343,12.5
15,25,1471,2.5
52,30,1420,3.5
14,30,1954,2.0
13,20,2233,1.5
55,50,2766,7.5
156,195,1337,24.0
158,150,1511,17.5
35,20,1807,5.0
30,20,2080,2.0
23,50,2466,3.0
108,50,2134,7.0
192,50,2224,6.0
49,50,2162,1.0
348,200,1589,19.5
12,30,1538,0.5833333333333334
15,20,2282,1.0
7,0,1603,1.0
10,50,2186,1.0
21,25,1738,3.0
5,45,1860,1.0
105,200,1654,12.5
28,45,2301,2.5
8,120,2920,2.5
34,195,2129,2.0
15,20,1406,1.0
19,40,1976,2.5
7,200,1975,1.5
8,25,1797,0.5666666666666667
30,95,1423,3.0
16,100,2780,1.0
15,45,1476,1.0
60,200,1360,5.0
16,20,1436,1.0
24,35,1322,3.5
95,0,3169,4.5
7,0,2281,1.0
18,35,2424,1.0
10,0,1716,0.5666666666666667
48,75,1564,4.5
20,50,1903,1.5
24,0,2430,1.0
5,30,2316,0.55
32,0,1507,2.0
8,20,1552,0.6166666666666667
304,20,2155,15.5
8,0,1856,1.0
12,25,1619,0.7
33,200,2821,2.5
48,30,1618,3.5
24,50,1484,1.0
47,60,2289,13.0
15,35,2530,2.0
38,100,1580,6.0
24,20,2031,2.0
34,200,1401,1.5
29,200,1910,2.0
110,50,2596,7.5
6,50,1793,0.6833333333333333
18,40,1666,2.0
15,50,1965,3.0
15,0,1339,3.0
25,195,2127,1.5
12,0,1465,0.5
11,20,2007,1.0
24,115,2123,2.0
97,45,2932,10.0
36,0,2351,4.5
7,0,1346,0.5833333333333334
14,20,2452,1.5
24,100,1589,2.0
43,75,1325,1.0
41,90,2484,3.5
113,75,2522,10.0
14,45,1612,1.0
24,0,1325,1.5
21,35,1803,1.0
13,20,2255,1.5
8,20,2024,0.6833333333333333
14,50,2142,3.5
40,95,2703,5.5
38,195,1760,5.0
21,30,1743,2.5
39,40,2722,3.0
5,20,2086,1.0
54,40,1741,11.5
21,20,2016,1.0
47,100,1458,3.5
10,20,1822,0.7333333333333333
7,20,1596,1.0
20,0,2326,3.0
6,40,2138,1.5
246,200,2008,32.5
18,95,1616,1.5
49,100,2008,9.0
19,35,1982,2.0
27,0,1862,3.0
9,20,1624,0.7333333333333333
188,200,1703,22.5
69,0,1749,5.0
20,40,1669,1.5
163,50,1807,10.5
48,20,2497,12.5
8,25,1336,2.0
12,20,1716,2.5
9,50,1325,2.0
195,20,3034,18.0
8,0,1531,1.0
20,200,1729,4.0
9,45,1459,1.0
14,20,2442,1.5
16,50,2485,4.0
19,150,1610,2.0
17,20,1928,3.0
8,0,2383,0.5833333333333334
22,50,1859,1.5
53,0,2059,3.0
33,95,2176,2.5
10,0,1331,2.0
10,20,2623,0.6333333333333333
83,100,1701,5.0
17,50,1925,0.6333333333333333
79,50,2031,15.0
56,50,1571,1.5
19,50,2534,3.0
32,20,1898,2.0
62,40,1891,3.5
16,20,2088,1.5
20,30,1604,1.5
86,95,1387,12.0
13,75,1329,2.5
33,50,2469,3.5
8,20,1548,1.0
45,60,1821,1.0
9,20,1470,1.0
13,20,1878,1.0
158,150,1521,30.0
24,85,1542,0.65
24,200,1380,3.0
37,200,1363,6.0
20,20,1452,2.0
17,0,1420,1.5
22,50,2534,4.0
25,25,1616,1.0
18,20,2112,2.0
20,200,1860,2.5
6,20,1367,0.5333333333333333
36,195,2003,3.5
29,195,1756,2.5
9,45,1833,2.0
16,200,1413,1.0
154,20,1942,14.5
4,35,1963,0.55
8,30,1506,2.0
59,95,1367,4.5
15,50,1605,1.5
26,95,1444,2.5
104,115,2063,5.5
29,100,1358,1.5
13,95,1499,1.0
22,150,1804,1.5
88,200,1577,7.0
35,25,2576,8.5
304,200,1807,30.5
10,95,1506,1.0
53,55,2261,3.0
5,20,2527,1.0
19,35,1394,1.0
103,195,1420,6.5
24,50,1868,3.5
14,80,2084,0.5
27,20,1987,3.0
49,50,1388,3.0
19,105,2249,2.0
75,50,2955,12.5
55,30,1582,4.5
5,20,2228,0.55
171,65,1492,19.0
235,100,1625,19.5
48,30,1828,3.0
12,25,1429,0.5
16,25,2652,4.5
19,20,2150,2.5
37,0,1542,2.5
104,110,1850,14.0
39,20,2000,4.0
7,40,1546,0.5833333333333334
6,0,2202,1.5
7,20,1367,1.0
7,40,1736,1.5
19,30,1380,3.0
26,50,1526,1.0
88,50,2239,6.0
51,50,2724,7.5
23,0,1713,2.0
10,20,1395,2.5
14,20,2939,1.5
9,20,1724,1.0
47,40,1930,0.7333333333333333
74,20,1898,4.0
14,0,2370,1.0
86,50,2529,5.5
13,20,1912,3.5
8,20,2252,0.6
31,0,1996,1.5
29,20,2700,2.5
39,25,2427,2.0
15,20,1925,2.5
6,20,2441,0.4833333333333333
32,195,2519,14.0
24,50,2564,5.5
19,0,1361,2.5
8,20,1857,0.6166666666666667
16,35,2545,2.0
91,100,1569,4.0
35,20,2610,2.5
52,25,2761,10.5
18,20,2087,1.0
6,20,2003,1.0
150,180,1878,26.5
29,50,2494,14.5
16,195,2143,2.0
31,0,2029,6.5
9,20,2340,1.0
110,95,2202,2.5
88,50,1937,10.5
27,25,1465,2.5
194,150,1812,9.5
61,50,2134,2.5
34,85,2280,2.0
20,20,1625,0.6333333333333333
19,80,1534,2.0
38,35,1691,3.0
129,200,2039,11.0
50,30,1583,3.5
21,20,2296,3.0
16,40,1393,1.5
27,20,1836,1.0
64,20,3049,9.5
62,95,1441,2.5
48,20,2053,2.0
22,95,1528,1.0
15,145,1745,1.0
44,30,2011,7.0
14,40,1610,1.0
68,50,1874,16.5
15,20,1380,1.5
65,0,1639,5.5
18,95,1689,2.0
17,95,2018,1.5
196,40,1738,5.5
9,25,1518,0.5833333333333334
27,20,1331,2.5
9,20,1452,1.0
13,50,2263,2.5
16,95,1526,1.5
62,75,2114,4.5
28,20,2347,1.5
7,20,2184,1.5
35,100,1925,3.0
35,50,1840,2.5
15,200,1447,1.0
33,20,2485,6.0
12,195,1731,1.0
14,20,1912,3.5
16,20,2550,1.5
6,20,2100,1.0
30,100,1547,2.0
17,200,1914,1.0
16,55,2126,1.5
5,20,1322,0.5166666666666666
31,20,2242,2.0
24,20,3166,1.0
11,40,2011,0.5833333333333334
18,50,1491,2.0
7,20,1689,1.0
11,100,1894,0.5
26,50,2499,7.5
70,30,2050,7.0
14,50,1387,1.0
20,0,1777,4.0
20,0,1464,2.0
65,20,1686,2.5
10,30,2687,2.0
77,50,1560,17.5
9,30,2173,1.0
24,20,1934,1.5
35,40,1326,5.5
69,0,1394,20.5
79,40,1440,6.5
15,95,2653,1.0
90,85,2119,5.0
9,50,1672,0.5166666666666666
8,20,1871,0.65
28,40,1644,4.0
58,95,1968,7.0
14,20,2492,1.5
37,200,2277,5.5
14,35,2459,1.0
16,50,1449,2.0
23,75,2394,2.0
58,20,2096,6.0
9,50,1742,2.0
84,20,2039,5.5
23,75,2192,3.0
69,80,1413,4.5
34,95,1771,2.5
48,85,2280,3.5
26,20,1927,2.5
35,20,2183,3.0
41,20,1813,4.0
20,200,1485,3.0
194,150,1933,24.5
129,150,1555,13.5
62,150,1652,2.0
26,55,1717,4.0
12,20,1871,3.0
11,50,1418,1.0
8,20,1402,1.0
14,40,2012,1.5
145,200,1573,14.5
63,50,1571,1.5
24,195,2254,5.0
16,120,2243,1.5
34,20,2746,1.5
42,50,2535,4.5
9,20,1797,1.0
20,0,1664,0.6166666666666667
10,50,1633,1.0
9,35,2166,0.55
11,0,1352,1.5
100,0,1520,5.0
25,30,1888,1.5
88,40,1869,7.5
17,20,2024,2.0
159,195,1572,18.5
6,135,1325,1.0
14,30,1589,1.0
111,150,1703,21.0
34,20,2525,6.5
57,50,1546,6.5
46,45,1948,5.5
10,70,1407,1.5
14,0,2488,1.5
81,20,2108,4.5
20,30,1325,3.0
13,30,2152,1.5
8,20,2155,1.0
30,50,1776,6.0
113,95,1563,2.0
16,20,1382,1.0
31,100,1632,3.0
25,40,1924,4.0
22,0,3206,2.5
18,45,1834,1.0
10,30,2015,1.0
13,40,1485,1.0
5,20,2746,1.0
11,20,1458,1.0
87,60,1848,17.5
50,200,1918,5.5
28,85,1518,3.5
110,50,2177,9.0
24,50,1765,4.0
8,65,1933,1.0
18,90,1384,2.5
